,it,emestar,rc,qest,sigmag_0,emed,apert,emetal,taugas
1662,199963.0,6.29328429698944e+32,47.44991683959961,3.994963169097901,30.160458216820572,0.048,0.30000001192092896,0.2650918662548065,1355765.75
1663,199990.0,8.720507621765135e+32,37.05789184570313,1.038002848625183,247.2392582261557,0.24,0.30000001192092896,-0.12103242427110672,1890500.875
1664,188715.0,2.2189903259277344e+32,48.32769775390625,4.452095985412598,9.085872852830372,0.015,0.30000001192092896,-0.17950953543186188,9859850.0
1665,199460.0,1.1275266408920288e+33,42.88867950439453,6.784111499786377,37.6858520876836,0.049,0.30000001192092896,-0.07820483297109605,1050445.25
1666,199971.0,4.847891628742218e+32,39.87239456176758,3.07348895072937,40.93368133779974,0.046,0.30000001192092896,0.11828003078699112,5324381.5
1667,199965.0,4.6679827570915215e+32,38.05426788330078,4.060288906097412,32.23849853555562,0.033,0.30000001192092896,0.08759719878435136,9983760.0
1668,198310.0,2.685478925704956e+32,44.138328552246094,4.5023393630981445,13.070985957914427,0.018,0.30000001192092896,-0.029966631904244426,2152575.0
1669,199377.0,6.51009976863861e+32,40.071144104003906,6.460700988769531,25.550659952257416,0.029,0.30000001192092896,-0.2539134919643402,1086080.5
1670,199988.0,9.53811764717102e+32,64.53069305419922,1.5135666131973269,71.34347269135952,0.21,0.30000001192092896,0.18970242142677307,1588532.375
1671,196437.0,2.294213771820068e+32,59.585899353027344,3.371334791183472,8.766036862730804,0.022,0.30000001192092896,-0.09612448513507844,1414127.375
1672,196907.0,3.4852966666221615e+32,42.60418701171875,7.161511421203612,10.911666405764613,0.014,0.30000001192092896,-0.03361176699399948,7599301.5
1673,199620.0,7.975425720214843e+32,50.78739929199218,5.233489036560059,25.778255200169173,0.047,0.30000001192092896,-0.20539262890815732,1236811.125
1674,195502.0,2.1434047818183897e+32,55.05062866210938,9.144594192504883,3.4077356967219017,0.0073,0.30000001192092896,0.3609251379966736,3504223.75
1675,198551.0,5.6540793180465695e+32,43.33189392089844,7.6954755783081055,16.575817153476955,0.022,0.30000001192092896,-0.11863221228122713,7582953.0
1676,198107.0,5.226897597312927e+32,52.77195358276367,12.641975402832033,6.603962796030703,0.013,0.30000001192092896,0.15139496326446533,8672389.0
1677,199807.0,2.564066648483276e+32,43.89025878906249,2.3776211738586426,23.50072737324073,0.032,0.30000001192092896,-0.034698326140642166,1548414.125
1678,199848.0,3.765002489089966e+32,32.33422088623047,5.461806774139404,25.709664453339663,0.019,0.30000001192092896,0.1618187427520752,5888431.5
1679,199988.0,3.795552551746368e+32,37.56707763671875,2.764573574066162,39.09465558716271,0.039,0.30000001192092896,0.15667828917503354,2401673.25
1680,148047.0,4.114105701446533e+32,47.34042739868164,8.29216480255127,9.468790750338083,0.015,0.30000001192092896,-0.4122243821620941,4954540.5
1681,199619.0,1.1430683135986328e+33,41.310325622558594,4.772876262664794,58.02944443343957,0.07,0.30000001192092896,-0.08380710333585739,2571886.0
1682,199442.0,2.5473493337631224e+32,44.5345115661621,8.455469131469727,6.419729535770458,0.008999999999999998,0.30000001192092896,0.4863265156745911,2431538.25
1683,199968.0,3.260238766670227e+32,38.79469680786133,2.4210851192474365,36.65958059267151,0.039,0.30000001192092896,0.08599616587162019,2446017.75
1684,199808.0,6.701076030731201e+32,46.73279190063477,5.775534152984619,22.67212351462345,0.035,0.30000001192092896,0.08672147244215012,1383618.5
1685,199430.0,3.78461092710495e+32,41.16159439086913,8.431559562683105,10.854918921910585,0.013,0.30000001192092896,0.19964776933193207,2494226.75
1686,199309.0,1.043163776397705e+33,33.801761627197266,17.40815544128418,21.049309850877886,0.017,0.30000001192092896,0.2513516843318939,4315245.5
1687,199890.0,3.902888894081115e+32,42.03506851196289,3.6026594638824463,25.620881530493012,0.032,0.30000001192092896,-0.014308590441942215,1616026.375
1688,199626.0,1.125606060028076e+33,40.32756805419922,8.229695320129393,34.795536331281234,0.04,0.30000001192092896,0.17370098829269406,5014393.5
1689,199820.0,2.794886827468872e+32,33.80813980102539,4.370820045471192,22.279095912089506,0.018,0.30000001192092896,0.147425577044487,4117053.0
1690,198045.0,4.62246298789978e+32,57.75280380249024,7.488559246063232,8.483038893008565,0.02,0.30000001192092896,0.03259410336613655,6072236.0
1691,199968.0,5.1444625854492176e+32,44.09343338012695,2.048032283782959,54.57340338639906,0.07499999999999998,0.30000001192092896,-0.022218611091375354,8597514.0
1692,199973.0,5.590950846672058e+32,42.14702606201172,2.8694801330566406,45.395059881798744,0.057,0.30000001192092896,0.14831124246120453,9099563.0
1693,199884.0,4.089201688766479e+32,51.16560363769531,3.2706849575042725,20.535013913754835,0.038,0.30000001192092896,0.06141625344753265,2911069.5
1694,197108.0,5.2509832382202154e+32,44.04152297973633,7.7783870697021475,14.587233924426934,0.02,0.30000001192092896,-0.22610825300216675,5184554.0
1695,197287.0,3.0619242787361146e+32,51.32165908813477,3.2205255031585693,15.576297454377006,0.029,0.30000001192092896,-0.30683961510658264,5904221.5
1696,199997.0,3.148678243160248e+32,34.24300003051757,1.0071519613265991,104.96469528816576,0.087,0.30000001192092896,-0.03057712502777576,5586128.0
1697,169687.0,2.2902297973632806e+32,37.09202194213867,8.953741073608398,7.506361110010943,0.0073,0.30000001192092896,-0.03981301560997963,2384604.0
1698,199962.0,5.271753072738648e+32,49.3106918334961,4.093538761138916,22.690811327160578,0.039,0.30000001192092896,0.2913806140422821,1105163.875
1699,199993.0,1.1329050064086914e+33,44.94331741333008,1.4104877710342407,168.09260163299749,0.24,0.30000001192092896,-0.02988785319030285,1379723.25
1700,199427.0,8.180161118507385e+32,46.477027893066406,6.549100399017334,24.88711242524881,0.038,0.30000001192092896,-0.11180979758501053,6169616.5
1701,199969.0,6.93250060081482e+32,38.543216705322266,2.2912919521331787,82.84970153693729,0.087,0.30000001192092896,0.022362962365150448,1206292.125
1702,199677.0,6.892487406730652e+32,43.43029022216797,6.218277454376221,24.751190114010328,0.033,0.30000001192092896,-0.13278226554393768,1675975.625
1703,199846.0,2.9748398065567016e+32,50.907508850097656,3.004336357116699,16.376653982646058,0.03,0.30000001192092896,0.09149173647165297,2253054.5
1704,199890.0,2.285192608833313e+32,31.19389724731445,3.7181379795074463,24.715947045953826,0.017,0.30000001192092896,0.17882202565670013,1071656.375
